create_dt,location_y,compnt_nm,location_x,version
20140207,-29.91231,CHATSWORTH,30.88538,1.1.0
20140207,-29.86012,CATO MANOR,30.968,1.1.0
20140207,-29.92278,BAYVIEW,30.9117,1.1.0
20140207,-31.97622,ILINGE,27.03843,1.1.0
20140207,-26.1624,PIET PLESSIS,24.40795,1.1.0
20140207,-29.51506,NDWEDWE,30.93596,1.1.0
20140207,-26.18032,HARTEBEESKOP,30.93031,1.1.0
20140207,-31.89704,QUEENSTOWN,26.87144,1.1.0
20140207,-34.05193,HARARE,18.6693,1.1.0
20140207,-33.9882,KLEINVLEI,18.71879,1.1.0
20140207,-25.49786,RIETGAT,28.09001,1.1.0
20140207,-25.62571,AKASIA,28.09538,1.1.0
20140207,-25.60465,BOITEKONG,27.29704,1.1.0
20140207,-28.7114,KAGISHO,24.71971,1.1.0
20140207,-34.15381,GRABOUW,19.01901,1.1.0
20140207,-34.41859,HERMANUS,19.23623,1.1.0
20140207,-34.33963,KLEINMOND,19.03232,1.1.0
20140207,-34.4756,NAPIER,19.89561,1.1.0
20140207,-30.6606,DE AAR,24.00504,1.1.0
20140207,-24.71591,ELANDSKRAAL,29.41198,1.1.0
20140207,-24.38627,MECKLENBURG,30.07359,1.1.0
20140207,-30.95563,LOERIESFONTEIN,19.44893,1.1.0
20140207,-25.48245,VERENA,29.02751,1.1.0
20140207,-29.17992,RIETVLEI,30.34741,1.1.0
20140207,-24.59703,THABAZIMBI,27.40775,1.1.0
20140207,-29.18644,KOPANONG,26.25326,1.1.0
20140207,-29.18293,KAGISANONG,26.23517,1.1.0
20140207,-26.55351,RATANDA,28.32785,1.1.0
20140207,-26.21722,GERMISTON,28.16174,1.1.0
20140207,-26.74201,GREYLINGSTAD,28.76545,1.1.0
20140207,-28.73487,KIMBERLEY,24.7632,1.1.0
20140207,-29.61844,INT AIRP KING SHAKA,31.10425,1.1.0
20140207,-29.06613,BAINSVLEI,26.12837,1.1.0
20140207,-29.13468,BATHO,26.22531,1.1.0
20140207,-29.08896,BAYSWATER,26.23033,1.1.0
20140207,-26.35129,DUNNOTTAR,28.4388,1.1.0
20140207,-26.42076,NIGEL,28.47217,1.1.0
20140207,-26.19655,BENONI,28.31337,1.1.0
20140207,-34.11592,STRAND,18.83286,1.1.0
